,Experiment_Acc.x,Library_Acc.x,File_Acc,Avg_Score,R0_Count,R1_Count,Enrichment,life_stage_age,perturbed,lab,biosample_class,developmental_slims,system_slims,organ_slims,cell_slims,Antibody,Biosample,Library_Acc.y,Experiment_Acc.y,Correlation,cluster,corr_motif1,corr_motif2
28,ENCSR038VWU,ENCLB703OBD,ENCFF890PFH,-3322.36537938786,320,681,2.128125,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB703OBD,ENCSR038VWU,0.791226908681721,1,0.927568,0.061489
29,ENCSR038VWU,ENCLB703OBD,ENCFF041UKL,-3323.73525558715,319,682,2.13793103448276,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB703OBD,ENCSR038VWU,0.0567347032014954,1,0.932049,0.122285
30,ENCSR038VWU,ENCLB125XSZ,ENCFF371TDK,-3314.61303148723,282,719,2.54964539007092,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB125XSZ,ENCSR038VWU,0.757549002978209,1,-0.005095,0.051688
31,ENCSR038VWU,ENCLB125XSZ,ENCFF988YXU,-3314.24257152587,290,712,2.4551724137931,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB125XSZ,ENCSR038VWU,-0.232017002382165,1,0.114586,-0.053957
32,ENCSR038VWU,ENCLB125XSZ,ENCFF807JQB,-3315.6748346392,293,708,2.41638225255973,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB125XSZ,ENCSR038VWU,-0.156001256581531,1,-0.169732,0.818349
33,ENCSR038VWU,ENCLB125XSZ,ENCFF686QWF,-3309.95065449056,265,738,2.78490566037736,adult 40 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'colon', 'large intestine']",[],ENCAB719MQZ,ENCBS724VYT,ENCLB125XSZ,ENCSR038VWU,-0.164450236769386,1,-0.251223,0.734048
34,ENCSR341OQG,ENCLB088XOY,ENCFF587JXK,-3312.85527164413,225,780,3.46666666666667,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS086NCD,ENCLB088XOY,ENCSR341OQG,0.139297969558098,1,0.949406,0.071791
35,ENCSR341OQG,ENCLB088XOY,ENCFF500TQS,-3312.37103475547,218,787,3.61009174311927,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS086NCD,ENCLB088XOY,ENCSR341OQG,0.140277000106675,1,0.950553,0.040054
36,ENCSR979ZEO,ENCLB901ZOX,ENCFF088LJF,-3333.31788977728,286,715,2.5,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS385ZCY,ENCLB901ZOX,ENCSR979ZEO,0.159667686342604,1,0.938565,0.098382
37,ENCSR979ZEO,ENCLB901ZOX,ENCFF619APA,-3334.96799376423,290,711,2.45172413793103,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS385ZCY,ENCLB901ZOX,ENCSR979ZEO,0.158949923951028,1,0.942927,0.095507
38,ENCSR160GVO,ENCLB600DTX,ENCFF395YSV,-3312.99737288799,274,729,2.66058394160584,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS088IDX,ENCLB600DTX,ENCSR160GVO,0.864421939430824,1,0.946069,0.011806
39,ENCSR160GVO,ENCLB600DTX,ENCFF781ZDF,-3317.41215009005,295,708,2.4,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS088IDX,ENCLB600DTX,ENCSR160GVO,0.863453837874368,1,0.94286,-0.01569
40,ENCSR160GVO,ENCLB600DTX,ENCFF608AEX,-3312.34455641248,263,738,2.80608365019011,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS088IDX,ENCLB600DTX,ENCSR160GVO,0.856706276260328,1,0.943151,-0.023554
41,ENCSR525VXD,ENCLB780IBS,ENCFF465HJK,-3311.1408172791,277,726,2.62093862815884,adult 90 or above years,False,/labs/bradley-bernstein/,tissue,['ectoderm'],,['brain'],[],ENCAB719MQZ,ENCBS464LBN,ENCLB780IBS,ENCSR525VXD,0.140931094752306,1,0.923355,-0.428434
42,ENCSR259PNW,ENCLB700JQW,ENCFF080JRN,-3356.77389860303,640,361,0.5640625,adult 88 years,False,/labs/bradley-bernstein/,tissue,['ectoderm'],,['brain'],[],ENCAB719MQZ,ENCBS995IIS,ENCLB700JQW,ENCSR259PNW,-0.0564366336758079,1,-0.015211,0.914054
43,ENCSR825NXC,ENCLB619XGY,ENCFF995XYQ,-3413.44951940869,936,64,0.0683760683760684,adult 56 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,['heart'],[],ENCAB719MQZ,ENCBS906ICM,ENCLB619XGY,ENCSR825NXC,-0.0310846031718821,1,0.143831,0.286345
44,ENCSR059BCO,ENCLB785JEZ,ENCFF279LFP,-3326.68289477302,217,784,3.61290322580645,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS814XCI,ENCLB785JEZ,ENCSR059BCO,0.144808705281807,1,0.943357,0.298954
45,ENCSR059BCO,ENCLB785JEZ,ENCFF944XAC,-3324.51118453004,211,790,3.74407582938389,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS814XCI,ENCLB785JEZ,ENCSR059BCO,0.149272985806094,1,0.945295,0.337544
46,ENCSR059BCO,ENCLB785JEZ,ENCFF519TUC,-3322.51633451549,209,793,3.79425837320574,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS814XCI,ENCLB785JEZ,ENCSR059BCO,0.148634953875217,1,0.944376,0.3248
47,ENCSR059BCO,ENCLB158IJT,ENCFF786BMS,-3316.57657192401,196,805,4.10714285714286,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS814XCI,ENCLB158IJT,ENCSR059BCO,0.141422756058845,1,0.947578,0.127182
48,ENCSR059BCO,ENCLB158IJT,ENCFF143DGJ,-3317.79745177875,187,813,4.3475935828877,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS814XCI,ENCLB158IJT,ENCSR059BCO,0.142872862166517,1,0.942849,0.236502
49,ENCSR473DVS,ENCLB293JMQ,ENCFF004CTS,-3319.87216252113,354,646,1.82485875706215,adult 40 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,['heart'],[],ENCAB719MQZ,ENCBS480XPH,ENCLB293JMQ,ENCSR473DVS,0.697952110668577,1,0.717775,0.730777
50,ENCSR473DVS,ENCLB293JMQ,ENCFF835ZTN,-3320.77741771983,366,638,1.7431693989071,adult 40 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,['heart'],[],ENCAB719MQZ,ENCBS480XPH,ENCLB293JMQ,ENCSR473DVS,0.726206476348033,1,0.796054,0.65109
51,ENCSR473DVS,ENCLB293JMQ,ENCFF237ZIG,-3321.55167353172,357,643,1.80112044817927,adult 40 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,['heart'],[],ENCAB719MQZ,ENCBS480XPH,ENCLB293JMQ,ENCSR473DVS,0.165755948897893,1,0.755824,0.711139
52,ENCSR473DVS,ENCLB232SNY,ENCFF176BBV,-3322.8639793619,382,621,1.62565445026178,adult 40 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,['heart'],[],ENCAB719MQZ,ENCBS480XPH,ENCLB232SNY,ENCSR473DVS,0.764037028478379,1,0.939184,-0.030754
53,ENCSR946MNG,ENCLB793JVC,ENCFF082GJC,-3292.95923049048,402,598,1.48756218905473,adult 37 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB719MQZ,ENCBS985DZK,ENCLB793JVC,ENCSR946MNG,0.242913976159629,1,0.681574,0.690468
54,ENCSR946MNG,ENCLB166VBB,ENCFF248USD,-3293.03581273197,390,610,1.56410256410256,adult 37 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB719MQZ,ENCBS985DZK,ENCLB166VBB,ENCSR946MNG,-0.0037899287448847,1,-0.188848,0.920155
55,ENCSR946MNG,ENCLB166VBB,ENCFF086XOB,-3289.04225912305,388,612,1.57731958762887,adult 37 years,False,/labs/bradley-bernstein/,tissue,"['endoderm', 'mesoderm']",,['prostate gland'],[],ENCAB719MQZ,ENCBS985DZK,ENCLB166VBB,ENCSR946MNG,0.691393338439684,1,0.090206,0.018768
56,ENCSR216SIK,ENCLB143IDI,ENCFF851YNO,-3309.49321385815,243,758,3.11934156378601,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB143IDI,ENCSR216SIK,0.165781156992913,1,0.929333,0.085171
57,ENCSR216SIK,ENCLB143IDI,ENCFF195HTY,-3309.97568371372,243,758,3.11934156378601,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB143IDI,ENCSR216SIK,0.155466954875434,1,0.926138,0.058976
58,ENCSR216SIK,ENCLB143IDI,ENCFF877UAC,-3313.1836682601,252,749,2.97222222222222,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB143IDI,ENCSR216SIK,0.155451994284719,1,0.92665,0.087377
59,ENCSR216SIK,ENCLB143IDI,ENCFF911GNU,-3310.47625583525,246,757,3.07723577235772,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB143IDI,ENCSR216SIK,0.15784503776548,1,0.930438,0.052133
60,ENCSR216SIK,ENCLB221XSX,ENCFF847JET,-3327.94364596995,298,705,2.36577181208054,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB221XSX,ENCSR216SIK,0.150973462906282,1,0.924295,0.109954
61,ENCSR216SIK,ENCLB221XSX,ENCFF153WOU,-3322.2885277052,286,716,2.5034965034965,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB221XSX,ENCSR216SIK,0.152714316756187,1,0.926793,0.074569
62,ENCSR216SIK,ENCLB221XSX,ENCFF091JQQ,-3325.18823693248,295,708,2.4,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB221XSX,ENCSR216SIK,0.156196474076602,1,0.928548,0.069589
63,ENCSR216SIK,ENCLB221XSX,ENCFF500FOO,-3323.66842319548,289,715,2.47404844290657,adult 48 years,True,/labs/bradley-bernstein/,cell line,['endoderm'],,"['intestine', 'colon', 'epithelium', 'large intestine']","['epithelial cell', 'cancer cell']",ENCAB719MQZ,ENCBS154UAS,ENCLB221XSX,ENCSR216SIK,0.15717119007629,1,0.925369,0.207548
64,ENCSR852BLA,ENCLB830TBV,ENCFF586KSM,-3339.04192136468,426,574,1.34741784037559,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB830TBV,ENCSR852BLA,0.704623095801197,1,-0.091991,0.744902
65,ENCSR852BLA,ENCLB830TBV,ENCFF471HPJ,-3336.99887890251,412,588,1.42718446601942,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB830TBV,ENCSR852BLA,-0.185322220642356,1,-0.061292,0.728934
66,ENCSR852BLA,ENCLB830TBV,ENCFF727BAT,-3337.43362420221,418,582,1.39234449760766,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB830TBV,ENCSR852BLA,-0.285413718708,1,0.722074,-0.183607
67,ENCSR852BLA,ENCLB830TBV,ENCFF346UXE,-3336.6823755502,402,598,1.48756218905473,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB830TBV,ENCSR852BLA,-0.0752691478369542,1,0.789851,-0.193902
68,ENCSR852BLA,ENCLB464OZE,ENCFF465RQK,-3335.4232256315,406,595,1.46551724137931,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB464OZE,ENCSR852BLA,-0.239671478043127,1,0.720105,0.750774
69,ENCSR852BLA,ENCLB464OZE,ENCFF592DZQ,-3373.71319535557,752,248,0.329787234042553,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB464OZE,ENCSR852BLA,0.704101177039255,1,0.011656,0.02209
70,ENCSR852BLA,ENCLB464OZE,ENCFF404KND,-3336.39731595032,404,599,1.48267326732673,child 16 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,['pancreas'],[],ENCAB719MQZ,ENCBS375CIT,ENCLB464OZE,ENCSR852BLA,0.768631230444917,1,-0.546832,-0.505042
71,ENCSR449SEF,ENCLB277MTN,ENCFF688CDG,-3296.97551361667,470,530,1.12765957446809,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'large intestine', 'colon']",[],ENCAB000AXX,ENCBS555CAN,ENCLB277MTN,ENCSR449SEF,-0.111626762507256,1,-0.017784,0.940807
72,ENCSR449SEF,ENCLB821IFF,ENCFF055SNS,-3298.0603126567,484,516,1.06611570247934,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'large intestine', 'colon']",[],ENCAB000AXX,ENCBS555CAN,ENCLB821IFF,ENCSR449SEF,-0.20597520358335,1,-0.137097,0.931739
73,ENCSR449SEF,ENCLB821IFF,ENCFF577IHY,-3299.07375079604,481,519,1.07900207900208,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'large intestine', 'colon']",[],ENCAB000AXX,ENCBS555CAN,ENCLB821IFF,ENCSR449SEF,-0.0665901084737664,1,-0.018001,0.929531
74,ENCSR449SEF,ENCLB710CAW,ENCFF980TII,-3283.53921965335,368,633,1.72010869565217,adult 51 years,False,/labs/bradley-bernstein/,tissue,['endoderm'],,"['intestine', 'large intestine', 'colon']",[],ENCAB719MQZ,ENCBS515RIZ,ENCLB710CAW,ENCSR449SEF,-0.204642704915814,1,0.042893,0.929054
75,ENCSR447ANW,ENCLB232BAX,ENCFF371SLF,-3285.4831457592,405,595,1.46913580246914,adult 51 years,False,/labs/bradley-bernstein/,tissue,['mesoderm'],,"['heart', 'arterial blood vessel', 'vasculature', 'blood vessel']",[],ENCAB000AXX,ENCBS984LMH,ENCLB232BAX,ENCSR447ANW,0.715535890671001,1,0.730676,0.707429
