File_Acc,Library_Acc,Experiment_Acc,Correlation
ENCFF905QDE,ENCLB469TFP,ENCSR355PMV,0.7299944585896425
ENCFF535BYA,ENCLB469TFP,ENCSR355PMV,0.9467090514286606
ENCFF046OFO,ENCLB469TFP,ENCSR355PMV,0.9445215451436927
ENCFF312EPF,ENCLB232PXP,ENCSR355PMV,0.9349396546569924
ENCFF263ZZF,ENCLB232PXP,ENCSR355PMV,0.9355461246580906
ENCFF754KJE,ENCLB232PXP,ENCSR355PMV,0.9391525085716332
ENCFF000CFV,ENCLB695AFV,ENCSR000AOO,0.9174186048467069
ENCFF000CFW,ENCLB695AFW,ENCSR000AOO,0.943308145467824
ENCFF000RRR,ENCLB067PGA,ENCSR000DLG,0.9394647239368757
ENCFF000RRS,ENCLB677PYM,ENCSR000DLG,0.9446395361745192
ENCFF512KCI,ENCLB776PLP,ENCSR967BSF,0.8995170468353398
ENCFF696MBJ,ENCLB776PLP,ENCSR967BSF,0.8921329085697985
ENCFF458IFM,ENCLB612PXJ,ENCSR967BSF,0.7240737324697415
ENCFF948KDP,ENCLB612PXJ,ENCSR967BSF,0.7734652265091478
ENCFF905EFM,ENCLB612PXJ,ENCSR967BSF,0.8030324253891014
ENCFF420VKZ,ENCLB947VVT,ENCSR967BSF,0.9141878303134063
ENCFF068TWU,ENCLB947VVT,ENCSR967BSF,0.9142465863810567
ENCFF514GOP,ENCLB947VVT,ENCSR967BSF,0.9202658757251575
ENCFF940BVB,ENCLB947VVT,ENCSR967BSF,0.9125341965733088
ENCFF080EUV,ENCLB248QLQ,ENCSR094PSL,0.9173961775978761
ENCFF018YQF,ENCLB248QLQ,ENCSR094PSL,0.9160287096287454
ENCFF954PVT,ENCLB248QLQ,ENCSR094PSL,0.9169738484784449
ENCFF062OKA,ENCLB002OCB,ENCSR094PSL,0.9167959984486472
ENCFF681LAM,ENCLB002OCB,ENCSR094PSL,0.9161517656307754
ENCFF523MRI,ENCLB002OCB,ENCSR094PSL,0.9165187313374537
ENCFF848HLR,ENCLB002OCB,ENCSR094PSL,0.9151401250647736
ENCFF576KWW,ENCLB414UFR,ENCSR369RRE,0.8961911207923602
ENCFF922WTS,ENCLB414UFR,ENCSR369RRE,0.896797023169688
ENCFF648DXS,ENCLB414UFR,ENCSR369RRE,0.898989129568864
ENCFF856ULN,ENCLB414UFR,ENCSR369RRE,0.9006985052642936
ENCFF252JED,ENCLB152SYF,ENCSR369RRE,0.900694003757784
ENCFF821NTR,ENCLB152SYF,ENCSR369RRE,0.9006914972958282
ENCFF218GYV,ENCLB152SYF,ENCSR369RRE,0.9022244609579618
ENCFF803KJT,ENCLB152SYF,ENCSR369RRE,0.9020684563873324
ENCFF001HJH,ENCLB337OOQ,ENCSR000DSU,0.9385895564607946
ENCFF001HJI,ENCLB386TSZ,ENCSR000DSU,0.9319341471399443
ENCFF817NLG,ENCLB855SQL,ENCSR164ASX,0.9311890033842334
ENCFF606GNW,ENCLB855SQL,ENCSR164ASX,0.9316199845239588
ENCFF827WWZ,ENCLB458ESB,ENCSR164ASX,0.921814775942131
ENCFF949VBH,ENCLB458ESB,ENCSR164ASX,0.9253029056972136
ENCFF144JAM,ENCLB458ESB,ENCSR164ASX,0.9243164038790569
ENCFF723DDC,ENCLB502UUI,ENCSR666JEF,0.7274498572666139
ENCFF199ZII,ENCLB502UUI,ENCSR666JEF,0.7588851988679828
ENCFF517BBS,ENCLB502UUI,ENCSR666JEF,0.621516138242498
ENCFF189IMW,ENCLB502UUI,ENCSR666JEF,0.6975331659038929
ENCFF000RXX,ENCLB889CJU,ENCSR000DMF,0.9213613913327156
ENCFF000RYB,ENCLB842YXB,ENCSR000DMF,0.9260059821838421
ENCFF001HIV,ENCLB638QKU,ENCSR000DSZ,0.9291777502083318
ENCFF001HJE,ENCLB555CIC,ENCSR000DSZ,0.9088341385694689
ENCFF001GYP,ENCLB122IIC,ENCSR000DPV,0.8826568001880954
ENCFF001GYQ,ENCLB117QMX,ENCSR000DPV,0.9135278323536482
ENCFF002ACW,ENCLB881BYS,ENCSR125DKL,0.9524411280947066
ENCFF217DNX,ENCLB536NOC,ENCSR847OSL,0.8948855349495485
ENCFF697MNU,ENCLB536NOC,ENCSR847OSL,0.8932190463005819
ENCFF493ARL,ENCLB318ETY,ENCSR847OSL,0.8897756506719692
ENCFF728XEF,ENCLB318ETY,ENCSR847OSL,0.8908918988003451
ENCFF920BFB,ENCLB318ETY,ENCSR847OSL,0.8903804516313689
ENCFF443TSR,ENCLB773XVE,ENCSR107GWZ,0.16117064320550534
ENCFF580PGM,ENCLB773XVE,ENCSR107GWZ,0.16130598061984858
ENCFF509AJD,ENCLB773XVE,ENCSR107GWZ,0.15684612543789803
ENCFF205PRY,ENCLB773XVE,ENCSR107GWZ,0.16122698809911637
ENCFF171NZD,ENCLB848VBL,ENCSR107GWZ,0.16267399417520745
ENCFF532MZL,ENCLB848VBL,ENCSR107GWZ,0.1594932590910093
ENCFF001HNT,ENCLB045XWU,ENCSR000DUG,0.9325330316704995
ENCFF001HNU,ENCLB697GFU,ENCSR000DUG,0.9623016461923268
ENCFF000SDG,ENCLB138KOL,ENCSR000DND,0.9490198021717843
ENCFF000SDQ,ENCLB967UKM,ENCSR000DND,0.9352364344358545
ENCFF001HRL,ENCLB538WRF,ENCSR000DVH,0.9530649953870726
ENCFF119WTV,ENCLB039DUD,ENCSR408ZEE,-0.3947574433353903
ENCFF420ACV,ENCLB035IAJ,ENCSR408ZEE,-0.06960369550583224
ENCFF781OMB,ENCLB035IAJ,ENCSR408ZEE,-0.02678898691102932
ENCFF681LQF,ENCLB227QDO,ENCSR954MUZ,0.14717072267202244
ENCFF286YSA,ENCLB227QDO,ENCSR954MUZ,0.14210777791812146
ENCFF815OMC,ENCLB353BZE,ENCSR954MUZ,0.14779529958440984
ENCFF199GYT,ENCLB353BZE,ENCSR954MUZ,0.1424813281866402
ENCFF000RNB,ENCLB605WML,ENCSR000DKN,0.9534229245003947
ENCFF020MGY,ENCLB963GPC,ENCSR089NBS,0.9325483955446027
ENCFF940ZZX,ENCLB963GPC,ENCSR089NBS,0.9322569260768339
ENCFF652KKJ,ENCLB963GPC,ENCSR089NBS,0.9323194508284289
ENCFF518VBO,ENCLB963GPC,ENCSR089NBS,0.9358008314302403
ENCFF727FYJ,ENCLB348JST,ENCSR089NBS,0.934040302217511
ENCFF387XGA,ENCLB348JST,ENCSR089NBS,0.9299963422083061
ENCFF533XQF,ENCLB348JST,ENCSR089NBS,0.9290717548911969
ENCFF399OXY,ENCLB200LVJ,ENCSR778ZPK,0.9384084512546845
ENCFF863BWR,ENCLB200LVJ,ENCSR778ZPK,0.9350825244205455
ENCFF681YPZ,ENCLB200LVJ,ENCSR778ZPK,0.937047745316772
ENCFF911VTL,ENCLB200LVJ,ENCSR778ZPK,0.9397914937078053
ENCFF690YAT,ENCLB113UJK,ENCSR778ZPK,0.9396638559910434
ENCFF738RAG,ENCLB113UJK,ENCSR778ZPK,0.9422268278139746
ENCFF393BZI,ENCLB113UJK,ENCSR778ZPK,0.9392202280881263
ENCFF994XEJ,ENCLB113UJK,ENCSR778ZPK,0.9392337421963473
ENCFF998EIR,ENCLB809QWR,ENCSR291YNH,0.9394284258980026
ENCFF056SZR,ENCLB809QWR,ENCSR291YNH,0.9374883410733421
ENCFF774ACP,ENCLB809QWR,ENCSR291YNH,0.9407093824380489
ENCFF254IOZ,ENCLB809QWR,ENCSR291YNH,0.9403774047544944
ENCFF505LCS,ENCLB565WMV,ENCSR291YNH,0.944768564395408
ENCFF426PQB,ENCLB565WMV,ENCSR291YNH,0.943651757355319
ENCFF000CCY,ENCLB695AAA,ENCSR000ATN,0.9326429582229433
ENCFF033PDS,ENCLB357MRH,ENCSR568IVD,0.943620938053821
ENCFF520UIS,ENCLB896TDF,ENCSR568IVD,0.9424330229133352
ENCFF648MLH,ENCLB896TDF,ENCSR568IVD,0.9454112348143084
ENCFF861WPS,ENCLB065DVC,ENCSR857RJQ,0.9405772443738144
ENCFF056JNV,ENCLB065DVC,ENCSR857RJQ,0.9385055997720118
ENCFF682AOT,ENCLB872PQX,ENCSR857RJQ,0.9446099899682726
ENCFF608GCT,ENCLB872PQX,ENCSR857RJQ,0.9420315482801485
ENCFF694IKR,ENCLB601KYC,ENCSR901NIN,0.9352486758166484
ENCFF198MCV,ENCLB601KYC,ENCSR901NIN,0.9384287721331569
ENCFF335TJR,ENCLB601KYC,ENCSR901NIN,0.9406708827445942
ENCFF274PTS,ENCLB601KYC,ENCSR901NIN,0.936520645473819
ENCFF246NHV,ENCLB449AKL,ENCSR901NIN,0.9310624720824939
ENCFF545ZWU,ENCLB449AKL,ENCSR901NIN,0.9310193339422203
ENCFF455EUA,ENCLB449AKL,ENCSR901NIN,0.33531190429257424
ENCFF903FRH,ENCLB449AKL,ENCSR901NIN,0.2504599196874144
ENCFF000SAK,ENCLB454HYZ,ENCSR000DMO,0.16918544237177724
ENCFF000SAL,ENCLB104XBK,ENCSR000DMO,0.039768961122437614
ENCFF001HFU,ENCLB024MKR,ENCSR000DRN,0.9541480017331333
ENCFF001HFQ,ENCLB364AJF,ENCSR000DRN,0.9361394560118671
ENCFF001HPM,ENCLB269VXN,ENCSR000DUS,0.934205460342889
ENCFF041UKL,ENCLB703OBD,ENCSR038VWU,0.05673470320149536
ENCFF890PFH,ENCLB703OBD,ENCSR038VWU,0.7912269086817211
ENCFF807JQB,ENCLB125XSZ,ENCSR038VWU,-0.15600125658153072
ENCFF686QWF,ENCLB125XSZ,ENCSR038VWU,-0.16445023676938575
ENCFF371TDK,ENCLB125XSZ,ENCSR038VWU,0.7575490029782092
ENCFF988YXU,ENCLB125XSZ,ENCSR038VWU,-0.23201700238216524
ENCFF071BCK,ENCLB994JYV,ENCSR785YRL,0.8637845615863421
ENCFF953USV,ENCLB994JYV,ENCSR785YRL,0.8597891247895817
ENCFF146LUA,ENCLB659FNH,ENCSR785YRL,0.8672376860180675
ENCFF414LTY,ENCLB659FNH,ENCSR785YRL,0.8698382148841236
ENCFF629SRK,ENCLB898RWE,ENCSR851SOK,0.91487279433999
ENCFF371SLF,ENCLB232BAX,ENCSR447ANW,0.7155358906710014
ENCFF770BTH,ENCLB232BAX,ENCSR447ANW,0.9354973375614702
ENCFF691YRB,ENCLB232BAX,ENCSR447ANW,0.9311982168764027
ENCFF685RPI,ENCLB892HAV,ENCSR068DJS,0.9210216419480363
ENCFF810VEP,ENCLB892HAV,ENCSR068DJS,0.9208711846720314
ENCFF260ODA,ENCLB917NNS,ENCSR173IEA,0.94621955429977
ENCFF200PSY,ENCLB683MOK,ENCSR173IEA,0.9240151463752923
ENCFF001HOE,ENCLB909ZHR,ENCSR000DUH,0.9440082427146693
ENCFF141ZBD,ENCLB567HDW,ENCSR374PKX,0.9207774708245324
ENCFF744HGD,ENCLB567HDW,ENCSR374PKX,0.9246910550553414
ENCFF023MCP,ENCLB835IVU,ENCSR607XFI,0.940114493121459
ENCFF186EUH,ENCLB600FCA,ENCSR607XFI,0.9406518377956031
ENCFF465CCL,ENCLB872CYR,ENCSR073TPC,0.9282828872369469
ENCFF437SNB,ENCLB473DVO,ENCSR073TPC,0.9323001780424993
ENCFF000BHI,ENCLB695AKR,ENCSR000ALV,0.9598934413242969
ENCFF236WZV,ENCLB774TZC,ENCSR834XPX,0.9316191989404806
ENCFF564JQX,ENCLB774TZC,ENCSR834XPX,0.9294627004972054
ENCFF832UQO,ENCLB774TZC,ENCSR834XPX,0.9289434426545274
ENCFF568LOI,ENCLB774TZC,ENCSR834XPX,0.9298437179048218
ENCFF656SIY,ENCLB683HUL,ENCSR834XPX,0.9292492929978836
ENCFF397EBY,ENCLB683HUL,ENCSR834XPX,0.9271478519334916
ENCFF025YKJ,ENCLB683HUL,ENCSR834XPX,0.9287695131649739
ENCFF641ALY,ENCLB683HUL,ENCSR834XPX,0.9263213730203532
ENCFF566LFO,ENCLB869CAM,ENCSR932ZMX,0.17443453800857278
ENCFF668WZE,ENCLB612TAV,ENCSR875NEW,0.9334982652012772
ENCFF357NIW,ENCLB612TAV,ENCSR875NEW,0.9308353155014739
ENCFF000CMM,ENCLB695AHO,ENCSR000ALJ,0.9561009429717852
ENCFF000CMF,ENCLB695AHN,ENCSR000ALJ,0.9137795926593429
ENCFF000CMG,ENCLB695AHM,ENCSR000ALJ,0.8956082586049559
ENCFF000CQU,ENCLB695AMO,ENCSR000ANO,0.9314264300468642
ENCFF000CQV,ENCLB695AMN,ENCSR000ANO,0.9199736318555872
ENCFF954WCC,ENCLB666MOZ,ENCSR105KGD,0.9197276013319745
ENCFF190YVK,ENCLB666MOZ,ENCSR105KGD,0.9191690702653458
ENCFF162MHV,ENCLB666MOZ,ENCSR105KGD,0.9153656391899611
ENCFF083QEJ,ENCLB666MOZ,ENCSR105KGD,0.9163486475445404
ENCFF632GJB,ENCLB572QDN,ENCSR105KGD,0.9220700541513426
ENCFF210YLR,ENCLB572QDN,ENCSR105KGD,0.9212287508316636
ENCFF942KTL,ENCLB572QDN,ENCSR105KGD,0.9206651653212854
ENCFF826WUE,ENCLB559YNL,ENCSR840EYN,0.9437486260087011
ENCFF108PQW,ENCLB559YNL,ENCSR840EYN,0.9415952039344585
ENCFF414YMA,ENCLB392AWA,ENCSR840EYN,0.9457843335278417
ENCFF455DGT,ENCLB392AWA,ENCSR840EYN,0.9407056694716526
ENCFF359ULQ,ENCLB392AWA,ENCSR840EYN,0.9430877722270186
ENCFF046MQD,ENCLB392AWA,ENCSR840EYN,0.9438511068720763
ENCFF386KUJ,ENCLB497IQD,ENCSR323ZAP,0.9198348708643409
ENCFF655BET,ENCLB497IQD,ENCSR323ZAP,0.9203758478460423
ENCFF100KIA,ENCLB497IQD,ENCSR323ZAP,0.9233746366572678
ENCFF545OQT,ENCLB199TYD,ENCSR323ZAP,0.9206717184700258
ENCFF276VHG,ENCLB199TYD,ENCSR323ZAP,0.9211159317795283
ENCFF725GXM,ENCLB199TYD,ENCSR323ZAP,0.922381138111659
ENCFF164XTQ,ENCLB199TYD,ENCSR323ZAP,0.9215189278650201
ENCFF422DIW,ENCLB110JHX,ENCSR806WWX,0.9326299054592383
ENCFF230BHJ,ENCLB110JHX,ENCSR806WWX,0.9344528372433238
ENCFF809QWC,ENCLB110JHX,ENCSR806WWX,0.9349694799831804
ENCFF976LSE,ENCLB110JHX,ENCSR806WWX,0.9341221760215193
ENCFF599YZY,ENCLB524XTI,ENCSR806WWX,0.9123645178899374
ENCFF806ORB,ENCLB524XTI,ENCSR806WWX,0.9150616333120731
ENCFF570VIT,ENCLB736CJR,ENCSR350NBQ,0.9366970282714734
ENCFF693HLX,ENCLB736CJR,ENCSR350NBQ,0.9336082099939723
ENCFF423QYZ,ENCLB870YBH,ENCSR350NBQ,0.9372168900892077
ENCFF351GCF,ENCLB622RIN,ENCSR359LOD,0.9579943273097105
